iter	Passed	Remaining
399	42834	64251
400	42948	64155
401	43140	64173
402	43251	64071
403	43352	63956
404	43464	63854
405	43564	63737
406	43660	63613
407	43762	63498
408	43861	63379
409	43982	63291
410	44081	63173
411	44160	63024
412	44289	62948
413	44410	62861
414	44525	62765
415	44638	62665
416	44750	62564
417	44857	62457
418	44973	62361
419	45080	62253
420	45187	62145
421	45292	62035
422	45402	61932
423	45514	61831
424	45621	61722
425	45725	61611
426	45831	61501
427	45949	61408
428	46046	61287
429	46148	61173
430	46241	61047
431	46339	60928
432	46431	60800
433	46522	60672
434	46619	60551
435	46704	60415
436	46815	60313
437	46945	60235
438	47049	60124
439	47169	60033
440	47290	59944
441	47399	59838
442	47498	59721
443	47605	59614
444	47709	59502
445	47814	59392
446	47908	59269
447	48022	59170
448	48154	59093
449	48281	59010
450	48402	58919
451	48522	58828
452	48640	58733
453	48754	58634
454	48863	58528
455	48965	58414
456	49057	58289
457	49160	58177
458	49267	58069
459	49367	57953
460	49475	57846
461	49575	57730
462	49678	57618
463	49768	57491
464	49869	57376
465	49966	57257
466	50054	57128
467	50148	57005
468	50232	56872
469	50318	56742
470	50407	56614
471	50496	56487
472	50591	56366
473	50696	56258
474	50796	56143
475	50904	56037
476	51006	55925
477	51101	55805
478	51203	55692
479	51305	55580
480	51391	55451
481	51487	55333
482	51578	55208
483	51681	55098
484	51790	54993
485	51881	54870
486	51983	54758
487	52080	54641
488	52184	54531
489	52298	54433
490	52393	54314
491	52504	54211
492	52616	54110
493	52712	53992
494	52806	53873
495	52907	53760
496	53010	53650
497	53102	53529
498	53197	53410
499	53296	53296
500	53396	53183
501	53495	53069
502	53601	52961
503	53702	52849
504	53811	52746
505	53909	52631
506	54007	52516
507	54100	52396
508	54197	52280
509	54291	52162
510	54388	52047
511	54492	51938
512	54586	51819
513	54697	51717
514	54827	51633
515	54959	51551
516	55083	51460
517	55196	51360
518	55306	51256
519	55420	51157
520	55486	51013
521	55618	50930
522	55753	50849
523	55915	50793
524	56076	50735
525	56239	50679
526	56377	50600
527	56524	50529
528	56695	50479
529	56943	50496
530	57065	50402
531	57212	50330
532	57342	50241
533	57454	50138
534	57575	50042
535	57699	49948
536	57818	49851
537	57936	49751
538	58058	49657
539	58187	49567
540	58308	49470
541	58428	49372
542	58533	49262
543	58635	49150
544	58732	49033
545	58848	48932
546	58953	48822
547	59049	48705
548	59124	48570
549	59238	48467
550	59347	48361
551	59447	48247
552	59560	48143
553	59658	48028
554	59758	47914
555	59864	47805
556	59959	47687
557	60052	47568
558	60161	47461
559	60265	47351
560	60363	47236
561	60465	47124
562	60578	47020
563	60684	46912
564	60787	46800
565	60884	46685
566	60992	46577
567	61099	46469
568	61193	46352
569	61289	46235
570	61385	46119
571	61486	46007
572	61559	45874
573	61644	45750
574	61756	45646
575	61883	45553
576	61999	45451
577	62113	45349
578	62213	45236
579	62328	45134
580	62430	45022
581	62513	44897
582	62629	44797
583	62747	44696
584	62849	44585
585	62964	44483
586	63093	44391
587	63196	44280
588	63300	44170
589	63409	44064
590	63513	43954
591	63626	43850
592	63743	43750
593	63846	43639
594	63940	43522
595	64029	43402
596	64127	43288
597	64234	43180
598	64338	43071
599	64408	42938
600	64531	42842
601	64669	42754
602	64801	42663
603	64916	42561
604	65022	42452
605	65136	42349
606	65207	42218
607	65337	42125
608	65463	42029
609	65569	41921
610	65682	41817
611	65808	41721
612	65932	41624
613	66041	41517
614	66156	41414
615	66270	41311
616	66384	41208
617	66504	41108
618	66630	41011
619	66739	40904
620	66849	40798
621	66970	40699
622	67072	40588
623	67165	40471
624	67263	40358
625	67369	40249
626	67491	40150
627	67592	40039
628	67698	39930
629	67798	39818
630	67897	39705
631	68010	39600
632	68109	39488
633	68201	39371
634	68300	39259
635	68414	39155
636	68505	39038
637	68589	38917
638	68713	38819
639	68863	38735
640	68989	38638
641	69093	38528
642	69203	38422
643	69305	38311
644	69409	38202
645	69505	38088
646	69606	37976
647	69714	37869
648	69811	37756
649	69922	37650
650	70033	37544
651	70134	37433
652	70238	37324
653	70317	37201
654	70440	37102
655	70554	36998
656	70667	36893
657	70857	36828
658	70983	36730
659	71109	36632
660	71212	36521
661	71331	36419
662	71431	36308
663	71538	36200
664	71630	36084
665	71711	35963
666	71813	35853
667	71921	35745
668	72030	35638
669	72156	35539
670	72272	35436
671	72379	35327
672	72482	35218
673	72598	35114
674	72702	35004
675	72814	34899
676	72876	34769
677	73016	34677
678	73155	34584
679	73278	34484
680	73385	34375
681	73503	34272
682	73641	34179
683	73770	34081
684	73899	33983
685	74008	33875
686	74105	33762
687	74195	33646
688	74319	33546
689	74456	33451
690	74565	33343
691	74670	33234
692	74782	33128
693	74888	33020
694	74992	32910
695	75087	32796
696	75195	32688
697	75304	32581
698	75407	32471
699	75504	32358
700	75600	32245
701	75709	32138
702	75814	32029
703	75914	31918
704	76010	31805
705	76096	31689
706	76196	31577
707	76295	31466
708	76399	31357
709	76501	31247
710	76604	31137
711	76702	31025
712	76802	30914
713	76915	30809
714	77018	30699
715	77115	30587
716	77213	30476
717	77321	30368
718	77455	30271
719	77554	30160
720	77654	30049
721	77755	29939
722	77867	29832
723	77962	29720
724	78051	29605
725	78146	29493
726	78250	29384
727	78375	29283
728	78497	29180
729	78627	29081
730	78733	28973
731	78833	28862
732	78935	28752
733	79045	28646
734	79157	28539
735	79263	28431
736	79359	28319
737	79461	28210
738	79568	28101
739	79669	27991
740	79769	27881
741	79877	27774
742	79968	27660
743	80107	27563
744	80284	27479
745	80751	27494
746	81123	27475
747	81365	27411
748	81542	27325
749	81791	27263
750	82017	27193
751	82265	27130
752	82475	27053
753	82660	26968
754	82823	26876
755	83014	26792
756	83191	26704
757	83350	26610
758	83487	26509
759	83608	26402
760	83735	26298
761	83849	26189
762	83970	26082
763	84087	25974
764	84198	25864
765	84302	25752
766	84407	25641
767	84518	25531
768	84639	25424
769	84768	25320
770	84886	25212
771	85006	25105
772	85132	25000
773	85242	24889
774	85358	24781
775	85488	24677
776	85616	24571
777	85721	24460
778	85839	24352
779	85973	24248
780	86098	24142
781	86222	24036
782	86397	23944
783	86540	23842
784	86685	23741
785	86823	23639
786	86969	23538
787	87090	23430
788	87205	23321
789	87326	23213
790	87456	23108
791	87585	23002
792	87691	22890
793	87850	22792
794	87995	22690
795	88166	22595
796	88330	22498
797	88492	22400
798	88671	22306
799	88858	22214
800	89197	22160
801	89441	22081
802	89692	22004
803	89913	21919
804	90151	21837
805	90463	21774
806	90727	21698
807	91007	21625
808	91363	21570
809	91701	21510
810	92025	21446
811	92422	21398
812	92975	21385
813	93313	21322
814	93552	21235
815	93807	21152
816	94023	21060
817	94235	20966
818	94499	20884
819	94773	20803
820	95049	20723
821	95306	20638
822	95519	20543
823	95741	20449
824	95977	20358
825	96249	20275
826	96507	20188
827	96742	20096
828	97015	20011
829	97254	19919
830	97640	19857
831	97974	19783
832	98271	19701
833	98506	19606
834	98703	19504
