iter	Logloss
0	0.5918804646
1	0.5184938236
2	0.4651483561
3	0.4238644589
4	0.3928696304
5	0.3665901557
6	0.3444991615
7	0.3271072952
8	0.3119583354
9	0.2988260348
10	0.288003796
11	0.2784534056
12	0.269079687
13	0.2609311755
14	0.2545515686
15	0.2482293914
16	0.243088786
17	0.2389022615
18	0.2345761599
19	0.2308550556
20	0.2276346713
21	0.2252193634
22	0.2226035421
23	0.2202910442
24	0.2180926435
25	0.2160932855
26	0.2144766715
27	0.2128528575
28	0.211317518
29	0.2100007638
30	0.2087963676
31	0.207595014
32	0.2066340671
33	0.2056547823
34	0.2047736139
35	0.2038095478
36	0.2030898243
37	0.2022991442
38	0.2016414136
39	0.2010511869
40	0.2005808975
41	0.1999797761
42	0.1995101378
43	0.1991756465
44	0.1986571368
45	0.19837146
46	0.1978923528
47	0.1975507444
48	0.1972847233
49	0.196999579
50	0.1966783969
51	0.1962471173
52	0.1959569925
53	0.1955994674
54	0.195312925
55	0.1952144322
56	0.1949543386
57	0.1948262841
58	0.1946876202
59	0.1945685277
60	0.1943802613
61	0.1940515448
62	0.1938190914
63	0.1936918274
64	0.1934760911
65	0.1934300828
66	0.1931947689
67	0.1929328852
68	0.1928355884
69	0.1927288799
70	0.1925909949
71	0.1925060904
72	0.1923767881
73	0.1922709866
74	0.1920797551
75	0.1918783023
76	0.191797584
77	0.1917257164
78	0.1916924609
79	0.1916424732
80	0.1916160449
81	0.1915655349
82	0.1914161554
83	0.1913615395
84	0.1913197458
85	0.191289303
86	0.1912313244
87	0.1911947102
88	0.19094953
89	0.190858115
90	0.1907716698
91	0.1906877775
92	0.1906456646
93	0.1905824198
94	0.1905385141
95	0.1904396846
96	0.1904103945
97	0.1903654568
98	0.1903279364
99	0.1902993963
100	0.1902640981
101	0.1902360702
102	0.1900859577
103	0.1899935733
104	0.1899479185
105	0.1897987151
106	0.1896340236
107	0.1895491851
108	0.1893783946
109	0.1893567969
110	0.1893309933
111	0.1892795915
112	0.1892592405
113	0.189118582
114	0.18908337
115	0.1889977442
116	0.1889649912
117	0.1889121653
118	0.1887944876
119	0.1886819109
120	0.1886517613
121	0.1885733113
122	0.1885486599
123	0.1884987385
124	0.1884004677
125	0.1883696673
126	0.1882945496
127	0.1882573996
128	0.1882263524
129	0.1882013012
130	0.1880871223
131	0.1880566294
132	0.1880115239
133	0.1879753852
134	0.1879267129
135	0.1878993778
136	0.1878706252
137	0.1878440555
138	0.1878060957
139	0.1877683909
140	0.1877350978
141	0.1876906284
142	0.187653121
143	0.1876222771
144	0.1875834217
145	0.1875581062
146	0.1875242236
147	0.1874891936
148	0.1874672475
149	0.1874081607
150	0.1873831789
151	0.1873431034
152	0.1873282601
153	0.1873112926
154	0.1872745959
155	0.1872223503
156	0.1871877927
157	0.1871586532
158	0.1871252846
159	0.1870919731
160	0.1870638404
161	0.1870371019
162	0.1870114671
163	0.1869791546
164	0.1869506623
165	0.1869224369
166	0.1868871765
167	0.1868605117
168	0.1868229844
169	0.1867973217
170	0.186738816
171	0.1867189066
172	0.1866840866
173	0.1866563204
174	0.1865397618
175	0.1865066502
176	0.1864769552
